chr	pos	strand	context	ratio	eff_CT_count	C_count	CT_count	rev_G_count	rev_GA_count	CI_lower	CI_upper
1	10656	-	CHH	0.000	12.00	0	12	13	13	0.000	0.243
1	10658	-	CHH	0.000	12.00	0	12	13	13	0.000	0.243
1	10659	-	CHH	0.000	12.00	0	12	13	13	0.000	0.243
1	10660	+	CG	0.769	13.00	10	13	12	12	0.497	0.918
1	10661	-	CG	0.917	12.00	11	12	13	13	0.646	0.985
1	10662	+	CG	0.538	13.00	7	13	12	12	0.291	0.768
1	10663	-	CG	0.833	12.00	10	12	12	12	0.552	0.953
1	10664	+	CHG	0.000	13.00	0	13	12	12	0.000	0.228
1	10665	+	CG	0.769	13.00	10	13	12	12	0.497	0.918
1	10666	-	CG	0.917	12.00	11	12	13	13	0.646	0.985
1	10667	+	CG	0.846	13.00	11	13	12	12	0.578	0.957
1	10668	-	CG	0.917	12.00	11	12	13	13	0.646	0.985
1	10669	+	CHG	0.077	13.00	1	13	12	12	0.014	0.333
1	10670	+	CG	0.941	17.00	16	17	12	12	0.730	0.990
1	10671	-	CG	0.917	12.00	11	12	17	17	0.646	0.985
1	10672	-	CHG	0.000	20.00	0	20	17	17	-0.000	0.161
1	10673	+	CG	0.941	17.00	16	17	19	19	0.730	0.990
1	10674	-	CG	0.950	20.00	19	20	17	17	0.764	0.991
1	10675	+	CHG	0.000	17.00	0	17	18	18	0.000	0.184
1	10677	-	CHG	0.050	20.00	1	20	17	17	0.009	0.236
1	10678	-	CHH	0.000	20.00	0	20	17	17	-0.000	0.161
1	10679	+	CG	0.824	17.00	14	17	20	20	0.590	0.938
1	10680	-	CG	0.900	20.00	18	20	17	17	0.699	0.972
1	10681	+	CHG	0.059	17.00	1	17	19	19	0.010	0.270
1	10683	-	CHG	0.000	20.00	0	20	17	17	-0.000	0.161
1	10685	-	CHH	0.000	20.00	0	20	17	17	-0.000	0.161
1	10687	-	CHH	0.000	20.00	0	20	17	17	-0.000	0.161
1	10688	-	CHH	0.000	20.00	0	20	17	17	-0.000	0.161
1	10689	+	CG	0.706	17.00	12	17	20	20	0.469	0.867
1	10690	-	CG	1.000	20.00	20	20	17	17	0.839	1.000
1	10691	+	CG	0.412	17.00	7	17	20	20	0.216	0.640
1	10692	-	CG	0.850	20.00	17	20	12	12	0.640	0.948
1	10693	+	CHG	0.000	17.00	0	17	20	20	0.000	0.184
1	10694	+	CG	0.882	17.00	15	17	20	20	0.657	0.967
1	10695	-	CG	1.000	18.82	20	20	16	17	0.831	1.000
1	10696	+	CG	0.765	17.00	13	17	20	20	0.527	0.904
1	10697	-	CG	1.000	20.00	20	20	17	17	0.839	1.000
1	10698	+	CHG	0.000	17.00	0	17	20	20	0.000	0.184
1	10699	+	CG	0.875	16.00	14	16	20	20	0.640	0.965
1	10700	-	CG	1.000	20.00	20	20	16	16	0.839	1.000
1	10701	-	CHG	0.000	15.00	0	15	16	16	-0.000	0.204
1	10702	+	CG	0.875	16.00	14	16	15	15	0.640	0.965
1	10703	-	CG	0.933	15.00	14	15	16	16	0.702	0.988
1	10704	+	CHG	0.000	16.00	0	16	15	15	0.000	0.194
1	10706	-	CHG	0.000	15.00	0	15	16	16	-0.000	0.204
1	10707	-	CHH	0.000	15.00	0	15	16	16	-0.000	0.204
1	10708	+	CG	0.938	16.00	15	16	15	15	0.717	0.989
1	10709	-	CG	1.000	15.00	15	15	16	16	0.796	1.000
1	10710	+	CHG	0.000	16.00	0	16	15	15	0.000	0.194
1	10712	-	CHG	0.000	15.00	0	15	16	16	-0.000	0.204
1	10714	-	CHH	0.000	15.00	0	15	16	16	-0.000	0.204
1	10716	-	CHH	0.067	15.00	1	15	16	16	0.012	0.298
1	10717	-	CHH	0.000	15.00	0	15	16	16	-0.000	0.204
1	10718	+	CG	0.812	16.00	13	16	15	15	0.570	0.934
1	10719	-	CG	0.800	15.00	12	15	16	16	0.548	0.930
1	10720	+	CG	0.500	16.00	8	16	15	15	0.280	0.720
1	10721	-	CG	0.733	15.00	11	15	13	13	0.480	0.891
1	10722	+	CHG	0.000	16.00	0	16	15	15	0.000	0.194
1	10723	+	CG	0.875	16.00	14	16	15	15	0.640	0.965
1	10724	-	CG	0.867	15.00	13	15	16	16	0.621	0.963
1	10725	+	CG	0.688	16.00	11	16	15	15	0.444	0.858
1	10726	-	CG	0.667	15.00	10	15	16	16	0.417	0.848
1	10727	+	CHG	0.000	16.00	0	16	15	15	0.000	0.194
1	10728	+	CG	1.000	15.00	15	15	15	15	0.796	1.000
1	10729	-	CG	0.933	15.00	14	15	15	15	0.702	0.988
1	10730	-	CHG	0.000	16.00	0	16	15	15	0.000	0.194
1	10731	+	CG	1.000	15.00	15	15	17	17	0.796	1.000
1	10732	-	CG	0.882	17.00	15	17	15	15	0.657	0.967
1	10733	+	CHG	0.067	15.00	1	15	16	16	0.012	0.298
1	10735	-	CHG	0.000	17.00	0	17	15	15	0.000	0.184
1	10736	-	CHH	0.000	17.00	0	17	15	15	0.000	0.184
1	10737	+	CG	1.000	15.00	15	15	17	17	0.796	1.000
1	10738	-	CG	0.941	17.00	16	17	15	15	0.730	0.990
1	10739	+	CHG	0.000	15.00	0	15	16	16	-0.000	0.204
1	10741	-	CHG	0.000	17.00	0	17	15	15	0.000	0.184
1	10743	-	CHH	0.000	17.00	0	17	15	15	0.000	0.184
1	10745	-	CHH	0.000	17.00	0	17	14	14	0.000	0.184
1	10746	-	CHH	0.000	17.00	0	17	15	15	0.000	0.184
1	10747	+	CG	0.933	15.00	14	15	17	17	0.702	0.988
1	10748	-	CG	0.882	17.00	15	17	15	15	0.657	0.967
1	10749	+	CG	0.467	15.00	7	15	17	17	0.248	0.699
1	10750	-	CG	0.647	17.00	11	17	13	13	0.413	0.827
1	10751	+	CHG	0.000	15.00	0	15	17	17	-0.000	0.204
1	10752	+	CG	1.000	15.00	15	15	17	17	0.796	1.000
1	10753	-	CG	0.941	17.00	16	17	15	15	0.730	0.990
1	10754	+	CG	1.000	15.00	15	15	17	17	0.796	1.000
1	10755	-	CG	0.824	17.00	14	17	15	15	0.590	0.938
1	10756	+	CHG	0.000	15.00	0	15	17	17	-0.000	0.204
1	10757	+	CG	0.923	26.00	24	26	17	17	0.759	0.979
1	10758	-	CG	1.000	17.00	17	17	26	26	0.816	1.000
1	10759	-	CHG	0.000	26.00	0	26	26	26	0.000	0.129
1	10760	+	CG	0.962	26.00	25	26	26	26	0.811	0.993
1	10761	-	CG	0.923	26.00	24	26	26	26	0.759	0.979
1	10762	+	CHG	0.000	26.00	0	26	25	25	0.000	0.129
1	10764	-	CHG	0.000	26.00	0	26	26	26	0.000	0.129
1	10765	-	CHH	0.000	26.00	0	26	26	26	0.000	0.129
1	10766	+	CG	0.885	26.00	23	26	26	26	0.710	0.960
1	10767	-	CG	0.962	26.00	25	26	26	26	0.811	0.993
1	10768	+	CHG	0.000	26.00	0	26	24	24	0.000	0.129
1	10770	-	CHG	0.000	26.00	0	26	26	26	0.000	0.129
1	10772	-	CHH	0.000	26.00	0	26	26	26	0.000	0.129
1	10774	-	CHH	0.000	26.00	0	26	26	26	0.000	0.129
1	10775	-	CHH	0.000	26.00	0	26	26	26	0.000	0.129
1	10776	+	CG	0.808	26.00	21	26	26	26	0.621	0.915
1	10777	-	CG	0.731	26.00	19	26	26	26	0.539	0.863
1	10778	+	CG	0.615	26.00	16	26	26	26	0.425	0.776
1	10779	-	CG	0.654	26.00	17	26	22	22	0.462	0.806
1	10780	+	CHG	0.000	26.00	0	26	26	26	0.000	0.129
1	10781	+	CG	0.923	26.00	24	26	26	26	0.759	0.979
1	10782	-	CG	0.885	26.00	23	26	26	26	0.710	0.960
1	10783	+	CG	0.800	25.00	20	25	26	26	0.609	0.911
1	10784	-	CG	0.692	26.00	18	26	26	26	0.500	0.835
1	10785	+	CHG	0.000	25.00	0	25	26	26	0.000	0.133
1	10786	+	CG	1.000	16.00	16	16	26	26	0.806	1.000
1	10787	-	CG	0.885	26.00	23	26	16	16	0.710	0.960
1	10789	+	CG	0.938	16.00	15	16	0	0	0.717	0.989
1	10791	+	CHG	0.000	16.00	0	16	0	0	0.000	0.194
1	10795	+	CG	1.000	16.00	16	16	0	0	0.806	1.000
1	10797	+	CHG	0.000	16.00	0	16	0	0	0.000	0.194
1	10801	+	CHH	0.000	16.00	0	16	0	0	0.000	0.194
1	10803	+	CHH	0.000	16.00	0	16	0	0	0.000	0.194
1	10807	+	CHH	0.062	16.00	1	16	0	0	0.011	0.283
1	10811	+	CG	0.688	16.00	11	16	0	0	0.444	0.858
1	10813	+	CG	0.812	16.00	13	16	0	0	0.570	0.934
1	10831	-	CHH	0.000	18.00	0	18	0	0	0.000	0.176
1	10833	-	CG	0.944	18.00	17	18	0	0	0.742	0.990
1	10836	-	CHG	0.000	18.00	0	18	0	0	0.000	0.176
1	10837	-	CHH	0.000	18.00	0	18	0	0	0.000	0.176
1	10839	-	CG	0.778	18.00	14	18	0	0	0.548	0.910
1	10842	-	CHG	0.000	18.00	0	18	0	0	0.000	0.176
1	10844	-	CHH	0.000	18.00	0	18	0	0	0.000	0.176
1	10846	-	CHH	0.000	18.00	0	18	0	0	0.000	0.176
1	10847	-	CHH	0.000	18.00	0	18	0	0	0.000	0.176
1	10849	-	CG	0.778	18.00	14	18	0	0	0.548	0.910
1	10851	-	CG	0.722	18.00	13	18	0	0	0.491	0.875
1	10854	-	CG	0.889	18.00	16	18	0	0	0.672	0.969
1	10856	-	CG	0.667	18.00	12	18	0	0	0.437	0.837
1	10858	+	CG	1.000	22.00	22	22	18	18	0.851	1.000
1	10859	-	CG	0.944	18.00	17	18	22	22	0.742	0.990
1	10861	+	CG	0.682	22.00	15	22	0	0	0.473	0.836
1	10863	+	CHG	0.000	22.00	0	22	0	0	0.000	0.149
1	10867	+	CG	0.955	22.00	21	22	0	0	0.782	0.992
1	10869	+	CHG	0.000	22.00	0	22	0	0	0.000	0.149
1	10875	+	CHH	0.000	22.00	0	22	0	0	0.000	0.149
1	10877	+	CHH	0.000	22.00	0	22	0	0	0.000	0.149
1	10881	+	CHH	0.000	22.00	0	22	0	0	0.000	0.149
1	10884	+	CHG	0.000	22.00	0	22	0	0	0.000	0.149
1	10885	+	CG	0.727	22.00	16	22	0	0	0.518	0.868
1	10907	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	10909	-	CG	0.833	6.00	5	6	0	0	0.436	0.970
1	10912	-	CHG	0.000	6.00	0	6	0	0	0.000	0.390
1	10913	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	10915	-	CG	0.833	6.00	5	6	0	0	0.436	0.970
1	10918	-	CHG	0.000	6.00	0	6	0	0	0.000	0.390
1	10920	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	10922	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	10923	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	10925	-	CG	0.833	6.00	5	6	0	0	0.436	0.970
1	10930	-	CG	1.000	6.00	6	6	0	0	0.610	1.000
1	10932	-	CG	0.833	6.00	5	6	0	0	0.436	0.970
1	10934	+	CG	0.923	13.00	12	13	6	6	0.667	0.986
1	10935	-	CG	1.000	6.00	6	6	13	13	0.610	1.000
1	10937	+	CG	0.923	13.00	12	13	0	0	0.667	0.986
1	10939	+	CHG	0.000	13.00	0	13	0	0	0.000	0.228
1	10943	+	CG	0.923	13.00	12	13	0	0	0.667	0.986
1	10945	+	CHG	0.077	13.00	1	13	0	0	0.014	0.333
1	10951	+	CHH	0.000	13.00	0	13	0	0	0.000	0.228
1	10953	+	CHH	0.000	13.00	0	13	0	0	0.000	0.228
1	10957	+	CHH	0.000	13.00	0	13	0	0	0.000	0.228
1	10961	+	CG	1.000	13.00	13	13	0	0	0.772	1.000
1	11032	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11035	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11038	-	CHG	0.000	6.00	0	6	0	0	0.000	0.390
1	11039	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11041	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11046	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11049	-	CG	0.667	6.00	4	6	0	0	0.300	0.903
1	11053	-	CG	0.500	6.00	3	6	0	0	0.188	0.812
1	11054	-	CHG	0.000	6.00	0	6	0	0	0.000	0.390
1	11056	-	CG	0.500	6.00	3	6	0	0	0.188	0.812
1	11058	+	CG	0.958	24.00	23	24	6	6	0.798	0.993
1	11059	-	CG	0.667	6.00	4	6	24	24	0.300	0.903
1	11062	+	CHG	0.000	24.00	0	24	0	0	0.000	0.138
1	11068	+	CG	0.833	24.00	20	24	0	0	0.641	0.933
1	11082	+	CG	0.542	24.00	13	24	0	0	0.351	0.721
1	11084	+	CHG	0.000	24.00	0	24	0	0	0.000	0.138
1	11085	+	CG	1.000	24.00	24	24	0	0	0.862	1.000
1	11130	-	CG	0.737	19.00	14	19	0	0	0.512	0.882
1	11131	-	CHG	0.000	19.00	0	19	0	0	0.000	0.168
1	11132	-	CHH	0.000	19.00	0	19	0	0	0.000	0.168
1	11135	-	CHH	0.000	19.00	0	19	0	0	0.000	0.168
1	11143	-	CHG	0.000	19.00	0	19	0	0	0.000	0.168
1	11150	-	CG	1.000	19.00	19	19	0	0	0.832	1.000
1	11155	-	CHH	0.000	19.00	0	19	0	0	0.000	0.168
1	11157	+	CG	0.917	24.00	22	24	26	26	0.742	0.977
1	11158	-	CG	0.731	26.00	19	26	24	24	0.539	0.863
1	11159	-	CHG	0.000	7.00	0	7	24	24	0.000	0.354
1	11160	-	CHH	0.000	7.00	0	7	24	24	0.000	0.354
1	11163	+	CG	0.958	24.00	23	24	7	7	0.798	0.993
1	11164	-	CG	1.000	6.00	6	6	24	24	0.610	1.000
1	11166	+	CHG	0.000	24.00	0	24	7	7	0.000	0.138
1	11167	+	CG	0.875	24.00	21	24	7	7	0.690	0.957
1	11168	-	CG	1.000	7.00	7	7	24	24	0.646	1.000
1	11169	+	CHH	0.000	24.00	0	24	7	7	0.000	0.138
1	11170	+	CHH	0.000	24.00	0	24	7	7	0.000	0.138
1	11171	+	CHH	0.000	24.00	0	24	7	7	0.000	0.138
1	11172	+	CHH	0.000	24.00	0	24	7	7	0.000	0.138
1	11175	-	CHH	0.000	7.00	0	7	24	24	0.000	0.354
1	11176	+	CHH	0.000	24.00	0	24	7	7	0.000	0.138
1	11179	-	CHH	0.000	7.00	0	7	24	24	0.000	0.354
1	11180	+	CHG	0.000	24.00	0	24	7	7	0.000	0.138
1	11182	-	CHG	0.000	7.00	0	7	24	24	0.000	0.354
1	11183	+	CHG	0.000	24.00	0	24	7	7	0.000	0.138
1	11184	+	CG	0.333	39.00	13	39	7	7	0.206	0.490
1	11185	-	CG	0.857	7.00	6	7	39	39	0.487	0.974
1	11188	+	CHH	0.000	15.00	0	15	0	0	-0.000	0.204
1	11190	+	CHH	0.000	15.00	0	15	0	0	-0.000	0.204
1	11193	+	CHG	0.000	15.00	0	15	0	0	-0.000	0.204
1	11198	+	CHH	0.000	15.00	0	15	0	0	-0.000	0.204
1	11199	+	CHG	0.000	15.00	0	15	0	0	-0.000	0.204
1	11200	+	CG	0.667	15.00	10	15	0	0	0.417	0.848
1	11202	+	CHH	0.000	15.00	0	15	0	0	-0.000	0.204
1	11206	+	CHH	0.000	15.00	0	15	0	0	-0.000	0.204
1	11208	+	CHH	0.000	15.00	0	15	0	0	-0.000	0.204
1	11210	+	CG	0.400	15.00	6	15	0	0	0.198	0.643
1	11273	-	CHH	0.000	4.00	0	4	0	0	0.000	0.490
1	11275	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11276	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11278	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11279	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11283	-	CHG	0.000	6.00	0	6	0	0	0.000	0.390
1	11285	-	CG	0.333	6.00	2	6	0	0	0.097	0.700
1	11292	-	CHG	0.000	6.00	0	6	0	0	0.000	0.390
1	11295	-	CHG	0.000	6.00	0	6	0	0	0.000	0.390
1	11296	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11298	-	CG	0.000	6.00	0	6	0	0	0.000	0.390
1	11300	+	CG	0.636	22.00	14	22	6	6	0.430	0.803
1	11301	-	CG	0.167	6.00	1	6	22	22	0.030	0.564
1	11305	+	CHH	0.000	22.00	0	22	0	0	0.000	0.149
1	11307	+	CHG	0.000	22.00	0	22	0	0	0.000	0.149
1	11310	+	CHG	0.000	22.00	0	22	0	0	0.000	0.149
1	11315	+	CHH	0.000	22.00	0	22	0	0	0.000	0.149
1	11316	+	CHH	0.000	22.00	0	22	0	0	0.000	0.149
1	11317	+	CHH	0.000	22.00	0	22	0	0	0.000	0.149
1	11319	+	CHH	0.000	22.00	0	22	0	0	0.000	0.149
1	11323	+	CHH	0.000	22.00	0	22	0	0	0.000	0.149
1	11327	+	CHG	0.000	22.00	0	22	0	0	0.000	0.149
1	11413	-	CHG	0.000	6.00	0	6	0	0	0.000	0.390
1	11416	-	CHG	0.000	6.00	0	6	0	0	0.000	0.390
1	11417	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11420	-	CHG	0.000	6.00	0	6	0	0	0.000	0.390
1	11423	-	CHG	0.000	6.00	0	6	0	0	0.000	0.390
1	11424	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11425	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11426	-	CHH	0.000	6.00	0	6	0	0	0.000	0.390
1	11432	-	CHG	0.000	6.00	0	6	0	0	0.000	0.390
1	11434	+	CG	0.767	43.00	33	43	6	6	0.623	0.868
1	11435	-	CG	0.667	6.00	4	6	43	43	0.300	0.903
1	11438	+	CHH	0.000	43.00	0	43	0	0	0.000	0.082
1	11439	+	CHH	0.000	43.00	0	43	0	0	0.000	0.082
1	11440	+	CHH	0.000	43.00	0	43	0	0	0.000	0.082
1	11442	+	CHH	0.000	43.00	0	43	0	0	0.000	0.082
1	11446	+	CHH	0.000	43.00	0	43	0	0	0.000	0.082
1	11448	+	CHH	0.000	43.00	0	43	0	0	0.000	0.082
1	11449	+	CHH	0.000	43.00	0	43	0	0	0.000	0.082
1	11452	+	CHG	0.023	43.00	1	43	0	0	0.004	0.121
1	11454	-	CHG	0.000	35.00	0	35	43	43	0.000	0.099
1	11457	+	CHG	0.000	43.00	0	43	35	35	0.000	0.082
1	11459	-	CHG	0.000	35.00	0	35	43	43	0.000	0.099
1	11460	-	CHH	0.000	35.00	0	35	43	43	0.000	0.099
1	11461	+	CG	0.884	43.00	38	43	35	35	0.755	0.949
1	11462	-	CG	0.914	35.00	32	35	43	43	0.776	0.970
1	11463	-	CHG	0.000	35.00	0	35	0	0	0.000	0.099
1	11470	-	CHH	0.000	35.00	0	35	0	0	0.000	0.099
1	11471	-	CHH	0.000	35.00	0	35	0	0	0.000	0.099
1	11472	-	CHH	0.000	35.00	0	35	0	0	0.000	0.099
1	11481	-	CG	0.857	35.00	30	35	0	0	0.706	0.937
1	11744	-	CHG	0.000	4.00	0	4	0	0	0.000	0.490
1	11747	-	CHH	0.000	4.00	0	4	0	0	0.000	0.490
1	11753	-	CHH	0.000	4.00	0	4	0	0	0.000	0.490
1	11756	-	CHG	0.000	4.00	0	4	0	0	0.000	0.490
1	11760	-	CHH	0.000	4.00	0	4	0	0	0.000	0.490
1	11761	-	CHH	0.000	4.00	0	4	0	0	0.000	0.490
1	11763	+	CG	0.552	29.00	16	29	4	4	0.375	0.716
1	11764	-	CG	1.000	4.00	4	4	29	29	0.510	1.000
1	11765	-	CHG	0.000	24.00	0	24	29	29	0.000	0.138
1	11767	-	CHH	0.000	24.00	0	24	29	29	0.000	0.138
1	11770	-	CHH	0.000	24.00	0	24	29	29	0.000	0.138
1	11772	-	CHH	0.000	24.00	0	24	29	29	0.000	0.138
1	11776	-	CHH	0.000	24.00	0	24	29	29	0.000	0.138
1	11778	+	CHG	0.000	29.00	0	29	24	24	0.000	0.117
1	11780	-	CHG	0.000	24.00	0	24	29	29	0.000	0.138
1	11781	+	CG	0.552	29.00	16	29	24	24	0.375	0.716
1	11782	-	CG	0.875	24.00	21	24	29	29	0.690	0.957
1	11783	+	CHH	0.000	29.00	0	29	24	24	0.000	0.117
1	11790	-	CHH	0.000	24.00	0	24	29	29	0.000	0.138
1	11791	+	CHG	0.000	29.00	0	29	24	24	0.000	0.117
1	11792	+	CG	0.667	30.00	20	30	24	24	0.488	0.808
1	11793	-	CG	0.875	24.00	21	24	30	30	0.690	0.957
1	11799	+	CHH	0.000	30.00	0	30	0	0	-0.000	0.114
1	11800	+	CHH	0.000	30.00	0	30	0	0	-0.000	0.114
1	11805	+	CHG	0.000	30.00	0	30	0	0	-0.000	0.114
1	11810	+	CHH	0.000	30.00	0	30	0	0	-0.000	0.114
1	11811	+	CHG	0.000	30.00	0	30	0	0	-0.000	0.114
1	11814	+	CHH	0.000	30.00	0	30	0	0	-0.000	0.114
1	11817	-	CHH	0.000	44.00	0	44	30	30	0.000	0.080
1	11820	-	CHH	0.000	44.00	0	44	30	30	0.000	0.080
1	11828	-	CG	0.568	44.00	25	44	0	0	0.422	0.703
1	11830	-	CHH	0.000	44.00	0	44	0	0	0.000	0.080
1	11834	-	CHH	0.000	44.00	0	44	0	0	0.000	0.080
1	11838	-	CHG	0.000	44.00	0	44	0	0	0.000	0.080
1	11842	+	CG	0.680	25.00	17	25	44	44	0.484	0.828
1	11843	-	CG	0.682	44.00	30	44	25	25	0.534	0.800
1	11849	+	CHH	0.000	25.00	0	25	0	0	0.000	0.133
1	11853	+	CHH	0.000	25.00	0	25	0	0	0.000	0.133
1	11855	+	CHH	0.000	25.00	0	25	0	0	0.000	0.133
1	11856	+	CHH	0.000	25.00	0	25	0	0	0.000	0.133
1	11863	+	CHH	0.000	23.00	0	23	0	0	-0.000	0.143
1	11868	+	CG	0.760	25.00	19	25	0	0	0.566	0.885
1	11934	-	CHH	0.015	134.00	2	134	0	0	0.004	0.053
1	11939	-	CHG	0.000	134.00	0	134	0	0	0.000	0.028
1	11947	-	CG	0.619	134.00	83	134	0	0	0.535	0.697
1	11949	-	CHH	0.000	134.00	0	134	0	0	0.000	0.028
1	11960	+	CG	1.000	1.00	1	1	134	134	0.207	1.000
1	11961	-	CG	0.575	134.00	77	134	1	1	0.490	0.655
1	11964	+	CHH	0.000	1.00	0	1	0	0	0.000	0.793
1	11965	+	CHH	0.000	1.00	0	1	0	0	0.000	0.793
1	11976	+	CHH	0.000	1.00	0	1	0	0	0.000	0.793
1	11978	+	CHG	0.000	1.00	0	1	0	0	0.000	0.793
1	11984	+	CHH	0.000	1.00	0	1	0	0	0.000	0.793
1	12271	+	CG	0.950	20.00	19	20	0	0	0.764	0.991
1	12274	+	CHH	0.000	20.00	0	20	0	0	-0.000	0.161
1	12275	+	CHH	0.000	20.00	0	20	0	0	-0.000	0.161
1	12276	+	CHH	0.000	20.00	0	20	0	0	-0.000	0.161
1	12278	+	CG	1.000	20.00	20	20	0	0	0.839	1.000
1	12280	+	CHH	0.000	20.00	0	20	0	0	-0.000	0.161
1	12282	+	CHH	0.000	20.00	0	20	0	0	-0.000	0.161
1	12283	+	CHG	0.000	20.00	0	20	0	0	-0.000	0.161
1	12286	+	CHG	0.000	20.00	0	20	0	0	-0.000	0.161
1	12289	+	CHG	0.000	20.00	0	20	0	0	-0.000	0.161
1	12294	+	CHH	0.000	20.00	0	20	0	0	-0.000	0.161
1	12295	+	CHH	0.100	20.00	2	20	0	0	0.028	0.301
1	12296	+	CHH	0.000	18.00	0	18	0	0	0.000	0.176
1	12297	+	CHH	0.000	20.00	0	20	0	0	-0.000	0.161
1	12306	-	CG	0.808	26.00	21	26	0	0	0.621	0.915
1	12310	-	CHG	0.000	26.00	0	26	0	0	0.000	0.129
1	12313	-	CHG	0.000	26.00	0	26	0	0	0.000	0.129
1	12319	-	CG	0.962	26.00	25	26	0	0	0.811	0.993
1	12320	-	CHG	0.000	26.00	0	26	0	0	0.000	0.129
1	12322	-	CHH	0.000	26.00	0	26	0	0	0.000	0.129
1	12329	-	CHH	0.000	26.00	0	26	0	0	0.000	0.129
1	12332	-	CG	1.000	26.00	26	26	0	0	0.871	1.000
1	12355	+	CG	1.000	7.00	7	7	0	0	0.646	1.000
1	12358	+	CHG	0.000	7.00	0	7	0	0	0.000	0.354
1	12371	+	CHH	0.000	7.00	0	7	0	0	0.000	0.354
1	12373	+	CHG	0.000	7.00	0	7	0	0	0.000	0.354
1	12376	+	CHG	0.000	7.00	0	7	0	0	0.000	0.354
1	12381	+	CHG	0.000	7.00	0	7	0	0	0.000	0.354
1	12586	+	CG	0.900	10.00	9	10	0	0	0.596	0.982
1	12589	+	CHH	0.000	10.00	0	10	0	0	-0.000	0.278
1	12590	+	CHH	0.000	10.00	0	10	0	0	-0.000	0.278
1	12591	+	CHH	0.000	10.00	0	10	0	0	-0.000	0.278
1	12592	+	CHG	0.000	10.00	0	10	0	0	-0.000	0.278
1	12596	+	CHH	0.000	10.00	0	10	0	0	-0.000	0.278
